co_municipio;Município;UF;Regiao
1200013;Acrelândia;AC;Norte
1200054;Assis Brasil;AC;Norte
1200104;Brasiléia;AC;Norte
1200138;Bujari;AC;Norte
1200179;Capixaba;AC;Norte
1200203;Cruzeiro do Sul;AC;Norte
1200252;Epitaciolândia;AC;Norte
1200302;Feijó;AC;Norte
1200328;Jordão;AC;Norte
1200336;Mâncio Lima;AC;Norte
1200344;Manoel Urbano;AC;Norte
1200351;Marechal Thaumaturgo;AC;Norte
1200385;Plácido de Castro;AC;Norte
1200807;Porto Acre;AC;Norte
1200393;Porto Walter;AC;Norte
1200401;Rio Branco;AC;Norte
1200427;Rodrigues Alves;AC;Norte
1200435;Santa Rosa do Purus;AC;Norte
1200500;Sena Madureira;AC;Norte
1200450;Senador Guiomard;AC;Norte
1200609;Tarauacá;AC;Norte
1200708;Xapuri;AC;Norte
2700102;Água Branca;AL;Nordeste
2700201;Anadia;AL;Nordeste
2700300;Arapiraca;AL;Nordeste
2700409;Atalaia;AL;Nordeste
2700607;Barra de São Miguel;AL;Nordeste
2700706;Batalha;AL;Nordeste
2700805;Belém;AL;Nordeste
2700904;Belo Monte;AL;Nordeste
2701001;Boca da Mata;AL;Nordeste
2701209;Cacimbinhas;AL;Nordeste
2701308;Cajueiro;AL;Nordeste
2701357;Campestre;AL;Nordeste
2701407;Campo Alegre;AL;Nordeste
2701605;Canapi;AL;Nordeste
2701704;Capela;AL;Nordeste
2701803;Carneiros;AL;Nordeste
2701902;Chã Preta;AL;Nordeste
2702009;Coité do Nóia;AL;Nordeste
2702108;Colônia Leopoldina;AL;Nordeste
2702207;Coqueiro Seco;AL;Nordeste
2702306;Coruripe;AL;Nordeste
2702355;Craíbas;AL;Nordeste
2702405;Delmiro Gouveia;AL;Nordeste
2702504;Dois Riachos;AL;Nordeste
2702553;Estrela de Alagoas;AL;Nordeste
2702603;Feira Grande;AL;Nordeste
2702702;Feliz Deserto;AL;Nordeste
2702801;Flexeiras;AL;Nordeste
2702900;Girau do Ponciano;AL;Nordeste
2703007;Ibateguara;AL;Nordeste
2703106;Igaci;AL;Nordeste
2703205;Igreja Nova;AL;Nordeste
2703304;Inhapi;AL;Nordeste
2703403;Jacaré dos Homens;AL;Nordeste
2703502;Jacuípe;AL;Nordeste
2703601;Japaratinga;AL;Nordeste
2703700;Jaramataia;AL;Nordeste
2703759;Jequiá da Praia;AL;Nordeste
2703809;Joaquim Gomes;AL;Nordeste
2703908;Jundiá;AL;Nordeste
2704005;Junqueiro;AL;Nordeste
2704104;Lagoa da Canoa;AL;Nordeste
2704203;Limoeiro de Anadia;AL;Nordeste
2704401;Major Isidoro;AL;Nordeste
2704906;Mar Vermelho;AL;Nordeste
2704500;Maragogi;AL;Nordeste
2704609;Maravilha;AL;Nordeste
2704708;Marechal Deodoro;AL;Nordeste
2704807;Maribondo;AL;Nordeste
2705002;Mata Grande;AL;Nordeste
2705101;Matriz de Camaragibe;AL;Nordeste
2705200;Messias;AL;Nordeste
2705309;Minador do Negrão;AL;Nordeste
2705408;Monteirópolis;AL;Nordeste
2705507;Murici;AL;Nordeste
2705606;Novo Lino;AL;Nordeste
2705705;Olho d'Água das Flores;AL;Nordeste
2705804;Olho d'Água do Casado;AL;Nordeste
2706000;Olivença;AL;Nordeste
2706109;Ouro Branco;AL;Nordeste
2706208;Palestina;AL;Nordeste
2706307;Palmeira dos Índios;AL;Nordeste
2706406;Pão de Açúcar;AL;Nordeste
2706422;Pariconha;AL;Nordeste
2706505;Passo de Camaragibe;AL;Nordeste
2706604;Paulo Jacinto;AL;Nordeste
2706703;Penedo;AL;Nordeste
2706802;Piaçabuçu;AL;Nordeste
2706901;Pilar;AL;Nordeste
2707008;Pindoba;AL;Nordeste
2707107;Piranhas;AL;Nordeste
2707206;Poço das Trincheiras;AL;Nordeste
2707305;Porto Calvo;AL;Nordeste
2707404;Porto de Pedras;AL;Nordeste
2707503;Porto Real do Colégio;AL;Nordeste
2707602;Quebrangulo;AL;Nordeste
2707701;Rio Largo;AL;Nordeste
2707800;Roteiro;AL;Nordeste
2707909;Santa Luzia do Norte;AL;Nordeste
2708006;Santana do Ipanema;AL;Nordeste
2708204;São Brás;AL;Nordeste
2708303;São José da Laje;AL;Nordeste
2708402;São José da Tapera;AL;Nordeste
2708501;São Luís do Quitunde;AL;Nordeste
2708600;São Miguel dos Campos;AL;Nordeste
2708709;São Miguel dos Milagres;AL;Nordeste
2708808;São Sebastião;AL;Nordeste
2708956;Senador Rui Palmeira;AL;Nordeste
2709004;Tanque d'Arca;AL;Nordeste
2709103;Taquarana;AL;Nordeste
2709152;Teotônio Vilela;AL;Nordeste
2709202;Traipu;AL;Nordeste
2709301;União dos Palmares;AL;Nordeste
2709400;Viçosa;AL;Nordeste
1300029;Alvarães;AM;Norte
1300060;Amaturá;AM;Norte
1300086;Anamã;AM;Norte
1300102;Anori;AM;Norte
1300144;Apuí;AM;Norte
1300201;Atalaia do Norte;AM;Norte
1300300;Autazes;AM;Norte
1300409;Barcelos;AM;Norte
1300508;Barreirinha;AM;Norte
1300607;Benjamin Constant;AM;Norte
1300631;Beruri;AM;Norte
1300680;Boa Vista do Ramos;AM;Norte
1300706;Boca do Acre;AM;Norte
1300805;Borba;AM;Norte
1300839;Caapiranga;AM;Norte
1300904;Canutama;AM;Norte
1301001;Carauari;AM;Norte
1301100;Careiro;AM;Norte
1301159;Careiro da Várzea;AM;Norte
1301209;Coari;AM;Norte
1301308;Codajás;AM;Norte
1301407;Eirunepé;AM;Norte
1301506;Envira;AM;Norte
1301605;Fonte Boa;AM;Norte
1301654;Guajará;AM;Norte
1301704;Humaitá;AM;Norte
1301803;Ipixuna;AM;Norte
1301852;Iranduba;AM;Norte
1301902;Itacoatiara;AM;Norte
1301951;Itamarati;AM;Norte
1302009;Itapiranga;AM;Norte
1302108;Japurá;AM;Norte
1302207;Juruá;AM;Norte
1302306;Jutaí;AM;Norte
1302405;Lábrea;AM;Norte
1302504;Manacapuru;AM;Norte
1302553;Manaquiri;AM;Norte
1302702;Manicoré;AM;Norte
1302801;Maraã;AM;Norte
1302900;Maués;AM;Norte
1303007;Nhamundá;AM;Norte
1303106;Nova Olinda do Norte;AM;Norte
1303205;Novo Airão;AM;Norte
1303304;Novo Aripuanã;AM;Norte
1303403;Parintins;AM;Norte
1303502;Pauini;AM;Norte
1303536;Presidente Figueiredo;AM;Norte
1303569;Rio Preto da Eva;AM;Norte
1303601;Santa Isabel do Rio Negro;AM;Norte
1303700;Santo Antônio do Içá;AM;Norte
1303809;São Gabriel da Cachoeira;AM;Norte
1303908;São Paulo de Olivença;AM;Norte
1303957;São Sebastião do Uatumã;AM;Norte
1304005;Silves;AM;Norte
1304062;Tabatinga;AM;Norte
1304104;Tapauá;AM;Norte
1304203;Tefé;AM;Norte
1304237;Tonantins;AM;Norte
1304260;Uarini;AM;Norte
1304302;Urucará;AM;Norte
1304401;Urucurituba;AM;Norte
1600105;Amapá;AP;Norte
1600204;Calçoene;AP;Norte
1600212;Cutias;AP;Norte
1600238;Ferreira Gomes;AP;Norte
1600253;Itaubal;AP;Norte
1600279;Laranjal do Jari;AP;Norte
1600303;Macapá;AP;Norte
1600402;Mazagão;AP;Norte
1600501;Oiapoque;AP;Norte
1600154;Pedra Branca do Amapari;AP;Norte
1600535;Porto Grande;AP;Norte
1600550;Pracuúba;AP;Norte
1600600;Santana;AP;Norte
1600055;Serra do Navio;AP;Norte
1600709;Tartarugalzinho;AP;Norte
1600808;Vitória do Jari;AP;Norte
2900108;Abaíra;BA;Nordeste
2900306;Acajutiba;BA;Nordeste
2900355;Adustina;BA;Nordeste
2900405;Água Fria;BA;Nordeste
2900702;Alagoinhas;BA;Nordeste
2900801;Alcobaça;BA;Nordeste
2901007;Amargosa;BA;Nordeste
2901106;Amélia Rodrigues;BA;Nordeste
2901155;América Dourada;BA;Nordeste
2901205;Anagé;BA;Nordeste
2901304;Andaraí;BA;Nordeste
2901353;Andorinha;BA;Nordeste
2901403;Angical;BA;Nordeste
2901601;Antas;BA;Nordeste
2901700;Antônio Cardoso;BA;Nordeste
2901809;Antônio Gonçalves;BA;Nordeste
2901908;Aporá;BA;Nordeste
2902104;Araci;BA;Nordeste
2902401;Aurelino Leal;BA;Nordeste
2902609;Baixa Grande;BA;Nordeste
2902658;Banzaê;BA;Nordeste
2902708;Barra;BA;Nordeste
2902807;Barra da Estiva;BA;Nordeste
2902906;Barra do Choça;BA;Nordeste
2903003;Barra do Mendes;BA;Nordeste
2903102;Barra do Rocha;BA;Nordeste
2903201;Barreiras;BA;Nordeste
2903235;Barro Alto;BA;Nordeste
2903276;Barrocas;BA;Nordeste
2903508;Belo Campo;BA;Nordeste
2903607;Biritinga;BA;Nordeste
2903706;Boa Nova;BA;Nordeste
2903805;Boa Vista do Tupim;BA;Nordeste
